T,T amb,q in,q out,price
51.64,18.1,76.7,70.49,0.22
51.5,18.1,76.68,70.46,0.22
51.41,18.1,76.66,70.44,0.22
51.38,18.2,76.65,70.42,0.22
51.43,18,76.66,70.4,0.22
51.16,18.2,76.67,70.39,0.22
51.33,18.1,76.7,70.38,0.22
51.34,18.2,76.74,70.38,0.22
51.23,18.1,76.78,70.37,0.22
51.26,18.1,76.83,70.38,0.22
51.05,18.2,76.88,70.39,0.22
51.02,18.1,76.93,70.4,0.22
51.04,18,76.99,70.41,0.22
51.13,18.2,77.05,70.43,0.22
51.19,17.8,77.1,70.46,0.22
51.07,17.9,77.16,70.48,0.22
50.97,18.1,77.21,70.51,0.22
50.94,18,77.26,70.54,0.22
51.09,18.1,77.31,70.57,0.22
51.04,17.8,77.37,70.61,0.22
51.14,18.1,77.43,70.64,0.22
50.96,18,77.48,70.68,0.22
50.97,18,77.52,70.72,0.22
50.93,17.8,77.57,70.76,0.22
51.05,17.8,77.6,70.8,0.22
51.11,17.9,77.63,70.84,0.22
51.23,17.8,77.66,70.88,0.22
51.05,18,77.69,70.91,0.22
51.1,17.9,77.71,70.95,0.22
51.15,18,77.75,70.98,0.22
51.1,18,77.78,71.02,0.22
51.2,18,77.82,71.05,0.22
51.26,18.1,77.86,71.08,0.22
51.25,18,77.9,71.1,0.22
51.17,18,77.93,71.12,0.22
51.23,17.9,77.95,71.14,0.22
51.06,17.8,77.96,71.16,0.22
51.38,17.9,77.96,71.17,0.22
51.27,17.8,77.95,71.17,0.22
51.23,18,77.92,71.17,0.22
51.33,17.8,77.89,71.17,0.22
51.38,18,77.85,71.17,0.22
51.32,17.8,77.8,71.14,0.22
51.11,17.9,77.75,71.11,0.22
51.34,17.9,77.69,71.07,0.22
51.29,17.9,77.64,71.04,0.22
51.27,17.6,77.59,71.01,0.22
51.13,17.7,77.54,70.98,0.22
51.18,17.9,77.49,70.95,0.22
51,17.9,77.43,70.92,0.22
51.13,17.9,77.38,70.89,0.22
51.09,17.7,77.32,70.86,0.22
50.9,17.7,77.27,70.84,0.22
50.92,17.8,77.22,70.81,0.22
50.99,17.7,77.16,70.78,0.22
50.96,17.9,77.11,70.76,0.22
50.73,17.9,77.07,70.73,0.22
50.93,17.9,77.02,70.7,0.22
50.62,17.8,76.98,70.67,0.22
50.87,17.8,76.95,70.64,0.22
50.7,17.9,76.91,70.62,0.22
50.72,17.9,76.88,70.59,0.22
50.51,18.1,76.85,70.56,0.22
50.46,17.8,76.82,70.53,0.22
50.5,18,76.79,70.49,0.22
50.6,18.1,76.75,70.46,0.22
50.41,17.9,76.72,70.43,0.22
50.33,18.2,76.69,70.4,0.22
50.49,17.9,76.66,70.36,0.22
50.41,18.1,76.63,70.33,0.22
50.5,18.1,76.6,70.29,0.22
50.25,18,76.57,70.25,0.22
50.15,18.1,76.54,70.22,0.22
50.38,18.1,76.51,70.18,0.22
50.24,18,76.48,70.14,0.22
50.15,18.1,76.45,70.1,0.22
50.1,18.1,76.42,70.07,0.22
50.27,18.2,76.39,70.03,0.22
50.34,18.1,76.36,69.99,0.22
50.31,18.2,76.33,69.95,0.22
50.12,18.2,76.3,69.91,0.22
50.01,18.1,76.27,69.87,0.22
50.24,18.3,76.24,69.83,0.22
50.26,18,76.21,69.79,0.22
50.27,18.1,76.18,69.75,0.22
50,18.1,76.15,69.7,0.22
50.03,18.2,76.13,69.66,0.22
49.95,17.9,76.1,69.62,0.22
50.24,18,76.07,69.58,0.22
50.23,18.1,76.05,69.54,0.22
50.15,17.9,76.02,69.5,0.22
50.13,18.1,75.99,69.46,0.22
